Ticker,CEO,Year,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral
INTC,Paul Otellini,2012,38,Man,white,happy,0.07208497,99.92792,0.00021639548,0.00096381304,1.0062282e-05,98.33463,1.0916315,0.5725528,0.0048710727,1.5148382e-08,4.297468e-05,99.6603,0.00018190058,0.0063310247,0.32827356
INTC,Brian Krzanich,2013,39,Man,white,fear,0.4756484,99.524345,4.7139845e-05,2.616252e-05,3.0997757e-07,99.766624,0.17730114,0.056005858,0.25274426,1.8150986e-05,62.47283,1.1135223,28.4644,7.616308,0.080185756
INTC,Brian Krzanich,2014,43,Man,white,sad,0.0037586128,99.99625,0.00019544044,0.03145038,1.77134e-05,71.96638,26.502054,1.4999115,0.5206083,0.0005282459,28.226706,0.15279093,70.4604,0.008527261,0.630433
INTC,Brian Krzanich,2015,50,Man,white,happy,0.10083657,99.89917,0.1807794,0.24176866,0.0059888754,81.940315,8.731005,8.900146,2.2513003e-08,2.831117e-17,5.6103507e-11,99.99972,2.0698683e-09,7.6539406e-16,0.00028212307
INTC,Brian Krzanich,2016,52,Man,white,fear,0.47076643,99.52923,0.13023739,0.24203612,0.009732656,83.09331,8.776292,7.7483916,3.1124647,0.13902372,54.69305,4.4072843,29.54427,0.009149198,8.094755
INTC,Brian Krzanich,2017,37,Man,white,happy,0.022528335,99.97748,0.06952793,0.318663,0.011905698,55.09748,36.41795,8.084472,1.6417246e-09,1.9105214e-12,5.1383473e-08,99.89845,3.9585275e-06,0.00017670519,0.10136943
INTC,Bob Swan,2018,26,Man,latino hispanic,happy,0.005153767,99.99485,4.4232283,11.803021,4.9117117,22.26254,23.690058,32.909443,2.176783e-05,2.1484851e-10,2.452154e-05,99.99338,2.2612954e-05,2.4722078e-06,0.006551099
INTC,Bob Swan,2019,27,Man,latino hispanic,happy,0.0058878427,99.99411,7.241172,14.842278,7.8182516,16.251951,24.653173,29.193174,2.1684625e-06,1.1229746e-10,1.9857973e-07,99.856804,4.890734e-06,2.4117512e-06,0.14319193
TXN,Richard K. Templeton,2010,27,Man,white,neutral,0.0025731348,99.99742,3.0724468,1.4107714,0.28901562,61.0901,14.37887,19.7588,4.985803,0.014749281,1.0149788,0.9562622,20.25152,0.01449542,72.7622
TXN,Richard K. Templeton,2011,27,Man,white,neutral,0.0025731348,99.99742,3.0724468,1.4107714,0.28901562,61.0901,14.37887,19.7588,4.985803,0.014749281,1.0149788,0.9562622,20.25152,0.01449542,72.7622
TXN,Richard K. Templeton,2012,33,Man,asian,sad,0.0023466437,99.99765,32.571438,9.822426,20.182335,8.828189,6.8214383,21.774168,15.518549,3.7577503,2.431676,24.969744,33.681664,4.955812,14.684805
TXN,Richard K. Templeton,2014,38,Man,white,neutral,0.009629983,99.99037,8.526937,2.3970406,0.7340226,54.76913,16.617582,16.955294,29.111221,0.00905804,1.6550196,22.506706,9.626566,0.35414803,36.73728
TXN,Richard K. Templeton,2016,38,Man,latino hispanic,neutral,0.0003841219,99.99962,7.9569745,8.711127,2.1453772,27.911165,24.103788,29.17157,28.124659,0.015036375,1.204848,28.88825,3.4650846,0.20461018,38.09751
TXN,Richard K. Templeton,2017,38,Man,white,happy,0.0018956016,99.99811,0.009281931,0.006191939,0.00035703304,96.11084,1.2467033,2.6266272,1.9612713e-07,3.6403126e-15,1.5176453e-10,63.940956,1.4071073e-05,1.33715385e-08,36.059036
TXN,Brian Crutcher,2018,45,Man,white,happy,0.10793302,99.89207,0.00085633236,0.0005325904,1.8479339e-05,99.49962,0.18434544,0.31462747,6.836771e-12,2.2780215e-19,3.8005215e-12,99.994225,2.8216132e-10,1.98943e-06,0.0057756864
TXN,Brian Crutcher,2019,40,Man,white,happy,0.15615329,99.84384,0.00053337915,0.00020708443,3.7954164e-06,99.48224,0.14251675,0.37450206,2.6371654e-12,1.629327e-21,8.880517e-16,99.986694,1.6720646e-10,2.520721e-07,0.013307581
QCOM,Paul E. Jacobs,2010,48,Man,white,sad,0.31800264,99.682,0.004538166,0.005768401,0.000107990236,96.71887,1.9806833,1.2900234,35.496986,2.1779108e-08,0.10002325,24.387434,39.9138,2.3817322e-05,0.101740815
QCOM,Paul E. Jacobs,2011,29,Man,white,happy,0.11360575,99.88639,0.0004325372,0.00011934611,7.2734556e-06,99.32706,0.22774358,0.44464523,1.3786995e-06,1.7335365e-10,7.3629235e-05,99.13313,0.0009673226,8.8513974e-05,0.8657325
QCOM,Steve Mollenkopf,2015,39,Man,white,happy,0.094679736,99.90532,1.1452793e-09,7.6353736e-11,6.872624e-15,99.99996,1.725278e-05,1.9026551e-05,5.7331477e-22,0.0,3.126221e-26,100.0,1.0888747e-19,1.8204777e-19,1.3739124e-07
QCOM,Steve Mollenkopf,2016,37,Man,white,happy,0.17298564,99.82702,1.6923096e-09,1.2017078e-10,6.5814375e-15,99.99998,6.7377227e-06,1.58799e-05,7.4056395e-08,5.016065e-25,8.184661e-18,100.0,8.687302e-11,7.847593e-14,1.9000628e-07
QCOM,Steve Mollenkopf,2018,41,Man,white,happy,0.110388696,99.88961,3.739803e-07,1.7411706e-08,6.958646e-12,99.99839,0.00094468164,0.00067595823,1.0130204e-11,2.6871967e-20,2.5561907e-13,99.99996,1.5348807e-10,1.2392364e-11,3.9707986e-05
QCOM,Steve Mollenkopf,2019,40,Man,white,angry,3.8957167,96.10428,0.73495835,0.25980073,0.035471138,80.93036,6.005441,12.033968,96.631,0.008843424,2.2122934,0.22332253,0.627073,0.012377269,0.28509665
IBM,Virginia Rometty,2012,35,Man,white,neutral,17.128757,82.87124,0.20094697,0.006814041,0.00085824355,95.24008,0.93386436,3.6174335,1.027091,9.549417e-06,1.9483352,0.61586595,21.957188,0.99701,73.4545
IBM,Virginia Rometty,2013,40,Man,white,fear,14.864156,85.13584,3.4745206e-06,2.3212717e-06,6.142138e-08,99.95366,0.003756156,0.042574376,0.009090718,1.728115e-08,99.94481,0.037245292,0.00081624195,0.008018454,2.0279123e-05
IBM,Virginia Rometty,2014,36,Woman,white,happy,86.580505,13.419488,0.00014702641,6.94056e-05,2.9954148e-07,99.91797,0.06427021,0.017546467,5.950451e-11,1.0216306e-21,1.4952999e-12,99.99158,2.0673445e-09,2.5118177e-06,0.008422262
IBM,Virginia Rometty,2015,26,Man,white,neutral,13.517733,86.48227,7.011589,13.245062,5.54995,27.760433,24.329742,22.10323,6.0773123e-12,2.464527e-30,0.008986466,7.3285344e-10,0.00012291102,1.3666082e-07,99.99089
IBM,Virginia Rometty,2016,35,Woman,white,happy,58.258266,41.741734,0.18952173,0.03169994,0.0050212536,92.65856,1.9086475,5.2065496,0.00012501354,5.2297283e-17,7.0285533e-10,99.998055,4.4864564e-07,4.2655838e-08,0.0018132457
IBM,Virginia Rometty,2017,31,Woman,white,neutral,99.973495,0.026501544,3.347899e-07,1.4873308e-07,4.6202206e-10,99.991196,0.0024335193,0.006374699,7.820593,4.1805556e-06,0.27075216,0.09700669,1.3671463,0.05121419,90.39328
IBM,Virginia Rometty,2018,32,Woman,white,happy,99.947495,0.05250708,0.0016872195,0.001003735,1.6805727e-05,98.55465,0.46016195,0.9824913,5.469016e-08,3.8758108e-13,1.5483993e-08,99.97363,1.3882133e-06,5.0198953e-08,0.02637033
IBM,Virginia Rometty,2019,32,Woman,white,happy,66.506714,33.49329,0.032280702,0.026821401,0.0022696168,96.819214,1.3747772,1.7446481,3.6566319e-06,7.333712e-15,1.711942e-08,99.954,3.9799008e-07,1.6175961e-06,0.04597989
PYPL,John Donahoe (under eBay),2010,45,Man,white,surprise,1.7983599,98.20164,2.1027382e-09,7.098951e-10,1.1892819e-12,99.99941,0.00039003807,0.00020013303,0.35472,1.6749289e-06,12.355772,0.8931584,0.43333066,84.64734,1.3156823
PYPL,John Donahoe (under eBay),2011,33,Man,white,happy,0.025070967,99.97492,1.6534916e-06,1.4262029e-05,7.002281e-08,99.86902,0.0751985,0.055771135,3.0909773e-12,7.816053e-27,2.5915897e-19,99.964165,6.2381635e-11,8.848168e-09,0.035836045
PYPL,John Donahoe (under eBay),2012,36,Man,white,angry,0.054461807,99.94554,0.00018382526,0.0010393326,5.7090697e-06,98.625984,0.7605295,0.61226463,57.828384,0.00051141693,3.145175,3.866082,1.9091879,2.5343149,30.716337
PYPL,John Donahoe (under eBay),2013,46,Man,white,neutral,0.055299055,99.9447,2.6369959e-08,2.9520464e-07,7.0385836e-10,99.995125,0.0039807484,0.0008923634,3.3361926,0.0035338206,3.9745781,3.4076188,43.28269,0.0898324,45.905563
PYPL,John Donahoe (under eBay),2014,35,Man,white,neutral,1.753011,98.246994,0.010680081,0.015562903,0.0006602061,96.58049,1.7986623,1.5939382,0.021702914,8.644523e-10,0.011101733,0.002635123,0.13477379,0.008611057,99.821175
PYPL,Dan Schulman,2015,37,Man,white,neutral,0.20757218,99.79242,3.6115654,4.7978606,0.9566212,42.601086,17.935858,30.097004,0.038812518,4.5239557e-10,0.00010243198,0.043742754,0.057398204,0.00011743593,99.85983
PYPL,Dan Schulman,2016,35,Man,white,surprise,0.16851528,99.83148,2.1717875,5.1163383,0.80929327,34.846214,30.544216,26.51215,0.16816542,4.031113,0.14147043,0.00017369814,0.0028439371,95.65621,2.4670055e-05
PYPL,Dan Schulman,2017,39,Man,white,neutral,0.193137,99.80686,2.7365851,4.445629,0.555509,43.645874,16.32847,32.287933,0.028000033,9.225072e-08,0.0001806911,13.607374,0.4680817,0.0008106559,85.89555
